,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed,Magnitude,Score,Count,IsMixed
71,1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,0,1.0,3,0.0,0.0,5927,1
72,1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,41401,0,5.0,1,1.0,0.1,205,1
73,1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41326,0,3.0,4,1.0,0.0,5927,1
74,1,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,41335,0,5.0,2,7.8,0.1,23,1
75,1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,41336,0,1.0,0,1.2,0.4,5927,1
76,1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,41326,1,3.0,4,4.8,0.1,5927,1
77,1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,3.0,3,0.8,0.3,5927,1
78,1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,5.0,1,0.0,0.0,5927,1
79,1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,0,1.0,3,1.6,0.0,5927,1
80,1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,41327,0,1.0,4,0.9,0.1,5927,1
81,1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,41326,0,2.0,1,1.9,0.3,24,0
82,1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41325,0,1.0,2,1.3,0.6,5927,1
83,1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,41326,0,3.0,3,1.5,0.7,5927,1
84,2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,41326,0,4.0,3,0.8,0.8,1258,0
85,1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,41326,0,3.0,2,0.9,0.9,5927,1
86,2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,41326,0,2.0,4,1.1,0.3,14,1
87,1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,41326,0,4.0,2,1.3,0.2,88,1
88,1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41330,3,11.0,3,9.2,0.0,5927,1
89,1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,41326,4,18.0,3,5.1,0.4,5927,1
90,1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41330,0,5.0,3,3.3,0.1,5927,1
91,2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,41326,0,3.0,4,2.4,0.1,3634,1
92,1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,41326,0,0.0,4,0.5,0.2,5927,1
93,2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,41324,0,12.0,3,0.0,0.0,3634,0
94,2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,41326,0,1.0,4,0.2,-0.2,3634,0
95,1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41327,0,2.0,3,0.4,0.1,5927,1
96,2,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,41401,0,3.0,1,0.0,0.0,221,0
97,1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,41401,0,3.0,3,1.4,0.4,24,1
98,1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,41336,0,3.0,3,0.1,0.0,5927,1
99,2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,41326,0,1.0,1,0.1,0.1,1258,0
100,2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,41401,0,1.0,2,1.4,0.1,296,0
101,1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,41326,0,2.0,2,3.4,0.4,37,1
102,1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,41401,0,3.0,4,2.4,0.6,69,0
103,1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,0,1.0,3,0.0,0.0,5927,1
104,2,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,41326,0,7.0,1,4.5,0.3,3634,0
105,2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,41401,0,2.0,2,0.9,0.9,1258,0
106,2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,41401,0,3.0,0,0.4,0.0,3634,1
107,1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,0,2.0,3,1.7,0.4,5927,1
108,2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,41401,0,2.0,1,2.4,0.6,3634,0
109,1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,0,4.0,4,1.0,0.5,5927,1
110,1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,41327,0,5.0,3,1.0,0.0,5927,1
111,2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,41324,0,1.0,4,0.0,0.0,342,0
112,2,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,41401,0,5.0,2,13.7,0.1,3634,1
113,1,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,41401,0,3.0,4,5.1,0.0,5927,1
114,1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41326,0,4.0,4,1.0,0.4,5927,1
115,2,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,41326,0,2.0,4,3.4,0.4,1258,0
116,1,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,41326,0,4.0,1,2.7,0.3,151,0
117,2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,41326,0,3.0,4,0.9,0.9,3634,0
118,2,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,41326,0,0.0,4,2.3,0.3,221,0
119,2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,41326,0,4.0,1,0.0,0.0,3634,0
120,1,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,41326,0,3.0,1,2.3,0.4,5927,1
121,1,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,41326,0,4.0,2,8.4,0.4,88,0
122,1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,41332,0,1.0,2,5.0,0.2,25,0
123,2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,41401,0,3.0,3,1.4,0.0,3634,0
124,1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,41326,0,4.0,1,2.5,0.2,5927,1
125,2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,41326,1,1.0,2,1.3,0.2,1258,0
126,1,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,41401,0,6.0,3,1.5,0.5,12,1
127,1,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,41401,0,3.0,3,1.1,0.2,98,1
128,1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,3.0,1,1.4,0.3,5927,1
129,1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,41332,0,1.0,4,0.9,0.9,5927,1
130,1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41335,0,5.0,4,4.5,0.3,5927,1
131,2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,41326,0,3.0,1,0.0,0.0,3634,0
132,2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,41332,0,3.0,2,2.1,0.7,1258,0
133,2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,41326,0,8.0,2,2.7,0.9,264,1
134,2,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,41332,0,2.0,4,0.9,0.4,42,1
135,1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,41326,0,5.0,4,5.5,0.1,5927,1
136,1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,41326,0,4.0,2,2.1,0.7,62,1
137,2,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,41326,0,1.0,3,3.8,0.4,1258,0
138,1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,41326,0,10.0,3,0.8,0.0,5927,1
139,1,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,41326,0,3.0,2,1.5,0.3,5927,1
140,2,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,41326,0,7.0,2,0.1,0.1,105,1
141,2,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,41401,0,5.0,3,5.0,0.2,296,0
142,2,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,41401,0,4.0,2,7.5,0.2,1258,0
143,1,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,41401,0,2.0,3,1.2,0.4,3,0
144,2,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,41401,0,5.0,2,7.3,0.4,1258,1
145,1,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,41326,0,1.0,1,0.2,0.1,90,1
146,1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,2.0,2,3.8,0.3,5927,1
147,2,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,41326,0,3.0,3,1.9,0.2,3634,0
148,2,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,41401,0,2.0,2,0.0,0.0,3634,0
149,1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,41326,0,2.0,2,1.6,0.8,5927,1
150,1,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,41332,0,2.0,3,0.5,0.2,5927,1
151,2,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,41326,0,2.0,3,0.9,0.0,8,0
152,2,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,41326,0,2.0,1,0.7,0.7,221,1
153,2,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,41401,1,3.0,2,2.5,0.2,3634,0
154,1,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,41326,0,11.0,4,1.1,0.0,5927,1
155,1,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,41401,0,4.0,3,1.3,0.0,62,0
156,1,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,41326,1,1.0,4,2.8,0.0,5927,1
157,1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,41327,0,1.0,4,0.3,0.0,5927,1
158,1,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,41330,0,1.0,2,2.3,0.5,62,0
159,2,1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,41401,0,13.0,2,14.0,0.2,1258,0
160,2,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,41401,0,3.0,1,1.2,0.0,73,0
161,1,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,41401,0,5.0,1,0.9,0.3,5927,1
162,1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41326,0,4.0,1,1.5,0.0,5927,1
163,1,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,41326,0,3.0,3,1.7,0.1,5927,1
164,1,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,41326,0,5.0,4,1.3,0.4,5927,1
165,2,36,306,0,3,1,3,6,2,2,1,1,1,1,5,0,41326,0,0.0,4,2.5,0.4,56,0
166,1,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,41327,0,1.0,4,0.3,0.0,5927,1
167,1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,41326,0,4.0,3,1.6,0.8,5927,1
168,1,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,41401,0,2.0,2,3.7,0.3,5927,1
169,2,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,41326,0,3.0,2,1.4,0.7,3634,0
170,2,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,41401,0,1.0,0,0.8,0.8,264,1
171,1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,80,41326,0,9.0,2,1.9,0.6,5927,1
172,2,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,41401,0,3.0,4,1.7,0.3,3634,0
173,1,17,307,0,1,1,0,0,2,2,1,1,1,1,1,150,41401,0,1.0,4,3.9,0.4,5927,1
174,1,2,307,0,3,1,2,7,2,1,3,3,3,1,8,0,41401,0,5.0,3,0.7,-0.3,5927,1
175,2,48,299,0,1,1,2,7,3,1,1,1,2,1,1,20,41326,0,4.0,2,2.4,0.3,342,0
176,2,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,41326,0,1.0,2,1.8,0.0,3634,0
177,2,5,266,264,2,1,7,0,2,2,2,2,2,1,1,150,41326,0,4.0,2,2.1,0.3,3634,1
178,1,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,41326,0,3.0,2,3.0,0.3,5927,1
179,1,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,41326,0,2.0,4,2.1,0.0,5927,1
180,1,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,41326,0,3.0,3,1.2,0.6,5927,1
181,2,72,266,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,0,10.0,4,8.4,0.3,3634,0
182,2,12,266,254,2,1,4,7,2,1,3,3,3,1,5,0,41325,0,4.0,4,0.8,0.8,3634,1
183,1,12,307,0,2,1,2,0,2,2,2,1,2,1,1,0,41327,0,2.0,4,1.1,0.3,5927,1
184,2,12,266,266,1,3,7,0,2,1,1,1,1,1,2,0,41401,0,2.0,4,0.2,0.0,3634,1
185,1,22,20,0,1,2,5,7,2,1,1,1,2,1,1,0,41401,0,0.0,3,0.3,-0.1,90,0
186,1,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,41326,0,3.0,4,8.7,0.2,5927,1
187,1,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,41326,0,1.0,3,1.1,0.5,5927,1
188,2,4,299,0,2,1,2,0,2,1,3,3,1,1,5,0,41336,0,1.0,4,0.9,0.4,342,0
189,1,12,307,0,2,7,0,0,2,2,1,1,2,1,1,0,41326,0,5.0,2,5.1,0.2,5927,1
190,1,7,307,0,1,1,7,0,1,1,2,2,2,1,1,50,41326,1,1.0,4,3.2,0.6,5927,1
191,1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41401,0,4.0,1,0.0,0.0,5927,1
192,1,3,307,0,2,2,7,0,1,1,2,1,3,1,3,0,41326,0,2.0,4,3.2,0.5,5927,1
193,1,24,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,0,24.0,4,3.5,0.2,5927,1
194,1,1,307,0,2,2,0,0,2,3,2,2,2,1,1,0,41326,0,3.0,1,2.4,0.3,5927,1
195,1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41332,0,1.0,2,1.1,0.1,5927,1
196,1,3,307,0,1,3,0,0,3,1,1,1,2,1,2,0,41326,0,9.0,2,2.7,0.2,5927,1
197,2,5,266,0,1,1,7,0,1,1,1,2,3,1,1,0,41401,0,4.0,4,4.3,0.2,3634,0
198,1,16,205,147,2,5,7,0,1,1,1,1,3,1,1,0,41401,0,3.0,1,1.1,0.3,190,1
199,2,2,266,0,1,3,5,7,2,1,1,1,2,1,1,0,41326,0,5.0,2,5.6,0.3,3634,0
200,2,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,41327,0,6.0,4,2.3,0.3,1258,0
201,1,7,205,178,1,2,0,0,2,1,1,1,3,1,1,0,41326,0,8.0,1,1.2,0.0,190,1
202,2,13,266,0,2,2,3,0,2,1,2,1,2,1,1,0,41326,0,5.0,4,5.8,0.1,3634,0
203,1,3,307,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,0,3.0,3,2.7,0.2,5927,1
204,1,12,307,0,1,1,2,0,2,1,1,1,2,1,1,0,41326,0,1.0,4,0.0,0.0,5927,1
205,2,3,266,0,1,1,7,0,1,1,1,1,2,1,1,0,41401,0,9.0,2,9.8,0.6,3634,0
206,1,2,307,307,2,1,2,0,2,2,2,2,2,1,1,0,41326,0,1.0,4,0.6,0.0,5927,1
207,2,10,266,0,2,4,0,0,2,1,1,1,1,1,1,0,41401,0,8.0,3,4.4,0.4,3634,0
208,1,2,307,0,2,4,5,7,2,1,2,1,2,1,1,0,41326,0,5.0,1,3.9,-0.2,5927,1
209,1,2,307,0,1,1,2,5,2,1,2,2,2,1,1,0,41326,0,2.0,3,2.8,0.2,5927,1
210,2,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,41401,0,8.0,1,0.0,0.0,3634,0
211,1,60,109,307,1,2,4,7,2,2,1,1,1,1,1,0,41326,0,5.0,3,4.3,0.1,151,1
212,2,2,266,0,2,1,4,7,2,1,2,2,2,1,6,30,41326,0,6.0,4,6.9,0.4,3634,0
213,2,12,266,0,2,2,3,5,2,1,1,1,1,1,1,0,41401,0,2.0,4,4.2,0.6,3634,0
214,2,2,266,254,2,1,4,7,1,1,2,2,2,1,1,0,41326,0,5.0,1,0.0,0.0,3634,1
215,2,0,292,299,3,2,5,0,2,1,2,2,2,2,3,0,41326,0,1.0,1,0.6,0.6,264,1
216,1,2,307,141,3,5,7,0,3,1,1,1,2,1,3,0,41326,1,8.0,3,0.8,0.1,5927,1
217,2,6,266,0,2,3,7,0,2,1,2,1,1,1,1,0,41326,0,5.0,4,0.8,0.8,3634,0
218,1,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,41326,0,2.0,2,1.2,0.3,5927,1
219,1,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,41326,0,4.0,1,0.9,0.2,5927,1
220,1,2,307,0,2,1,2,7,1,1,2,2,2,1,4,0,41327,0,5.0,1,3.3,-0.1,5927,1
221,2,3,265,0,1,4,7,0,2,2,2,2,2,1,1,50,41326,0,3.0,1,0.9,0.9,1258,0
222,1,19,307,0,2,1,0,0,2,1,1,1,1,1,1,80,41326,0,3.0,4,2.8,0.4,5927,1
223,2,11,266,0,2,1,4,7,2,1,1,1,1,1,1,50,41326,0,5.0,4,1.1,0.2,3634,0
224,1,37,307,0,2,2,3,7,2,1,1,1,1,1,1,0,41326,0,5.0,4,2.0,0.0,5927,1
225,2,4,288,285,2,1,7,0,1,3,2,2,3,1,1,250,41326,0,3.0,2,0.0,0.0,16,1
226,1,3,307,141,1,5,0,0,2,1,2,1,1,1,1,0,41401,0,6.0,1,0.6,0.6,5927,1
227,1,6,307,0,1,1,2,5,2,1,1,1,1,1,1,0,41326,0,1.0,3,3.8,0.3,5927,1
228,2,1,266,0,2,3,5,0,2,1,2,2,2,1,1,0,41326,0,7.0,2,0.8,-0.2,3634,0
229,1,5,307,0,1,1,2,0,2,1,3,3,3,1,1,0,41326,0,0.0,4,0.8,0.8,5927,1
230,1,1,307,0,3,1,0,0,2,1,2,2,2,1,6,0,41326,0,5.0,3,3.2,0.1,5927,1
231,2,7,266,0,1,1,7,0,2,1,2,1,2,1,1,0,41401,0,2.0,2,2.2,0.5,3634,0
232,1,4,307,0,2,1,2,0,2,2,2,1,2,1,1,1,41401,0,1.0,4,0.6,0.1,5927,1
233,2,1,266,0,2,1,2,5,2,1,2,2,2,1,1,0,41326,0,0.0,4,2.9,0.2,3634,0
234,1,48,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,1.0,3,2.0,0.3,5927,1
235,1,3,69,4,2,2,0,0,1,1,2,2,2,1,1,0,41330,0,3.0,1,0.2,-0.2,41,1
236,1,2,307,0,1,1,2,7,2,2,1,1,2,1,1,0,41326,0,1.0,1,0.1,0.1,5927,1
237,2,4,266,0,1,4,7,0,1,1,1,1,3,1,1,0,41401,0,5.0,1,2.1,0.4,3634,0
